"id","portail_id","portail_libelle","role","organisation","module_id","module_code","module_libelle","routes","donnees_visibles","theme","responsable_propose","sources","nb_routes_candidates","niveau_preuve","statut","test_ui","baseline","version_source","limite"
"PM-admin-mining_sites","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-mining_sites","mining_sites","Sites artisanaux","/artisan-sites | /artisan-sites/:siteId | /artisan-sites/:siteId/modifier | /artisan-sites/nouveau | /artisan-sites/production","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot sites artisanaux","src/PrivateApp.tsx:744 | src/PrivateApp.tsx:753 | src/PrivateApp.tsx:754 | src/PrivateApp.tsx:763 | src/PrivateApp.tsx:772 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","5","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-national_reserve","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-national_reserve","national_reserve","Réserve nationale","/national-reserve | /national-reserve/allocations | /national-reserve/allocations/:id | /national-reserve/allocations/:id/edit | /national-reserve/allocations/new | /national-reserve/audit | /national-reserve/controls | /national-reserve/physical | /national-reserve/valuation","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot réserve nationale","src/PrivateApp.tsx:654 | src/PrivateApp.tsx:663 | src/PrivateApp.tsx:672 | src/PrivateApp.tsx:681 | src/PrivateApp.tsx:690 | src/PrivateApp.tsx:699 | src/PrivateApp.tsx:708 | src/PrivateApp.tsx:717 | src/PrivateApp.tsx:726 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","9","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-production","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-production","production","Collecte de l’or","/performance/budgets | /performance/forecasts | /production/:id | /production/achats-mines | /production/daily | /production/in-safe | /production/licenses | /production/licenses/:id | /production/licenses/edit/:id | /production/licenses/new | /production/licenses/requests","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot production industrielle","src/PrivateApp.tsx:1004 | src/PrivateApp.tsx:1635 | src/PrivateApp.tsx:1644 | src/PrivateApp.tsx:1653 | src/PrivateApp.tsx:1662 | src/PrivateApp.tsx:1671 | src/PrivateApp.tsx:1680 | src/PrivateApp.tsx:781 | src/PrivateApp.tsx:974 | src/PrivateApp.tsx:983 | src/PrivateApp.tsx:992 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","11","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-production_analytics","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-production_analytics","production_analytics","Rapports de production","/analytics/production","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot production_analytics","src/PrivateApp.tsx:1617 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-public-et-alias","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-public-et-alias","public-et-alias","public-et-alias","/admin/refineries | /admin/refineries/edit/:id | /admin/refineries/new | /admin/transport-companies | /admin/transport-companies/edit/:id | /admin/transport-companies/new | /admin/users | /admin/users/:userId/permissions | /audit | /sonasp/cessions-comptoirs","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot public-et-alias","src/PrivateApp.tsx:1049 | src/PrivateApp.tsx:1058 | src/PrivateApp.tsx:1116 | src/PrivateApp.tsx:1125 | src/PrivateApp.tsx:1134 | src/PrivateApp.tsx:1143 | src/PrivateApp.tsx:1152 | src/PrivateApp.tsx:1161 | src/PrivateApp.tsx:1788 | src/PrivateApp.tsx:392 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","10","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-refining","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-refining","refining","Raffinage","/refining | /refining/:id/process | /refining/freight-shipments","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot raffinage","src/PrivateApp.tsx:1403 | src/PrivateApp.tsx:1412 | src/PrivateApp.tsx:1421 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-reports","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-reports","reports","Rapports institutionnels","/reports","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot reports","src/PrivateApp.tsx:1626 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-sales","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-sales","sales","Vente d’or international","/payments | /payments/:id | /payments/create | /payments/record | /payments/virtual | /sales | /sales/:id | /sales/approve/:saleId | /sales/approve/:saleId/:token | /sales/new","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot ventes internationales et paiements","src/PrivateApp.tsx:1433 | src/PrivateApp.tsx:1442 | src/PrivateApp.tsx:1478 | src/PrivateApp.tsx:1487 | src/PrivateApp.tsx:1496 | src/PrivateApp.tsx:1554 | src/PrivateApp.tsx:1563 | src/PrivateApp.tsx:1572 | src/PrivateApp.tsx:1581 | src/PrivateApp.tsx:735 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","10","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-sales_analytics","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-sales_analytics","sales_analytics","Analyses des ventes","/analytics/ventes","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot sales_analytics","src/PrivateApp.tsx:1608 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-settings","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-settings","settings","Paramètres","/admin/gold-sales-settings | /admin/status-manager | /admin/workflow | /parameters","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot paramètres","src/PrivateApp.tsx:1080 | src/PrivateApp.tsx:1089 | src/PrivateApp.tsx:1170 | src/PrivateApp.tsx:1179 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","4","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-shipping","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-shipping","shipping","Expéditions","/freight | /freight-customs | /freight-customs/:id | /freight-customs/create | /freight/shipments/:id | /freight/shipments/create | /shipping | /shipping/preparation | /shipping/preparation/:id | /shipping/preparation/:id/details | /shipping/preparation/:id/edit | /shipping/preparation/edit/:id | /shipping/preparation/new","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot expéditions","src/PrivateApp.tsx:1266 | src/PrivateApp.tsx:1275 | src/PrivateApp.tsx:1284 | src/PrivateApp.tsx:1293 | src/PrivateApp.tsx:1302 | src/PrivateApp.tsx:1311 | src/PrivateApp.tsx:1320 | src/PrivateApp.tsx:1329 | src/PrivateApp.tsx:1338 | src/PrivateApp.tsx:1347 | src/PrivateApp.tsx:1356 | src/PrivateApp.tsx:1365 | src/PrivateApp.tsx:1392 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","13","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-stakeholders","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-stakeholders","stakeholders","Parties prenantes","/customers | /customers/:id | /customers/:id/edit | /customers/new | /stakeholders/approvers | /stakeholders/depositors | /stakeholders/depositors/:id/edit | /stakeholders/depositors/new | /stakeholders/freight-companies | /stakeholders/mining-companies | /stakeholders/mining-companies/:id | /stakeholders/mining-companies/:id/edit | /stakeholders/mining-companies/new | /stakeholders/organizations | /stakeholders/organizations/:id/edit | /stakeholders/organizations/new | /stakeholders/refinery-plants","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot référentiels (root pilote Clients)","src/PrivateApp.tsx:1505 | src/PrivateApp.tsx:1516 | src/PrivateApp.tsx:1527 | src/PrivateApp.tsx:1538 | src/PrivateApp.tsx:1689 | src/PrivateApp.tsx:1698 | src/PrivateApp.tsx:1707 | src/PrivateApp.tsx:1716 | src/PrivateApp.tsx:1725 | src/PrivateApp.tsx:1734 | src/PrivateApp.tsx:1743 | src/PrivateApp.tsx:1752 | src/PrivateApp.tsx:1761 | src/PrivateApp.tsx:1770 | src/PrivateApp.tsx:1779 | src/PrivateApp.tsx:1842 | src/PrivateApp.tsx:1851 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","17","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-transverse","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-transverse","transverse","transverse","/help | /profile","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot transverse","src/PrivateApp.tsx:1257 | src/PrivateApp.tsx:278 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-airport-dashboard","POR-airport","Expéditions","airport","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-dashboard","dashboard","Tableau de bord","/dashboard/airport","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","airport; primary=#0F7A56; sidebar=#1B2A3A; prescrit=false","Lot pilotage national","src/PrivateApp.tsx:1815 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-airport-documents","POR-airport","Expéditions","airport","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-documents","documents","Documents","/documents/assay-certificates","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","airport; primary=#0F7A56; sidebar=#1B2A3A; prescrit=false","Lot documents","src/PrivateApp.tsx:1374 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
