"id","lot","anomalie","iteration","etat","preuve_technique","reste_a_verifier"
"CLI-11","Clients internationaux","Actions courriel et paiements incorrectes","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-12","Clients internationaux","Conseils non conformes aux champs/règles","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-13","Clients internationaux","Double soumission et réponses tardives","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-14","Clients internationaux","Contexte mine/rôle et passage édition-création","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-15","Clients internationaux","Valeurs historiques hors catalogue invisibles","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-16","Clients internationaux","Arrondis des montants décimaux","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-17","Clients internationaux","Compte invalide fermé et erreurs bancaires locales","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-18","Clients internationaux","Perte des filtres au retour détail","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-19","Clients internationaux","Responsive du volet formulaire et alignements","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"ENV-01","Tous portails","Aucune base isolée complète attestée","Diagnostic initial","BLOQUANT","environnement/preflight-result.json","Accès sécurisé préproduction ou baseline locale approuvée"
"PER-01","Tous portails","Qualification et tests exhaustifs non exécutés","Inventaire initial","À POURSUIVRE","01_INVENTAIRE_PORTAILS_MODULES.csv | 02_MATRICE_ECRANS_ET_ACTIONS.csv","Instancier critères/variantes de chaque module puis exécuter et auditer"
"CLI-20","Clients internationaux","Pays affichés en anglais et mauvaise correspondance de catalogue bancaire","Libellés français sans changer valeurs API ; Guinée distincte des autres pays contenant Guinea","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md","Recette intégrée du lot dans environnement isolé et audit final"
"CLI-21","Clients internationaux","Badge Transactions détaché contrairement au §12","Compteur intégré au libellé entre parenthèses","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","preuves/presentation-clients/complement-qa-iab.md","Recette intégrée du lot dans environnement isolé et audit final"
"TST-01","Infrastructure de tests","Découverte de 31 copies de tests archivées et import cassé","Exclusion backups uniquement après comparaison avec les 31 sources canoniques","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/decouverte-tests.md","Recette intégrée du lot dans environnement isolé et audit final"
"ART-LECT-01","Artisanat","Erreurs de ventes et infractions masquées en listes vides","États de lecture distincts, reprise et contexte corrigés ; 38 tests composants relus indépendamment","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","lot-artisanat/","Recette intégrée du lot dans environnement isolé et audit final"
"ART-DASH-002","Artisanat","Tableau de bord Artisan : erreurs de chargement transformées en listes vides","Qualification initiale ; aucun correctif de ce cas","OUVERT ; CONSTAT STATIQUE À REPRODUIRE","lot-artisanat/README.md","Reproduction isolée, correctif, recette UI/persistance et audit"
"ART-DASH-003","Artisanat","Filtre site Artisan fondé sur la commune plutôt que sur artisanal_site_id","Qualification initiale ; aucun correctif de ce cas","OUVERT ; CONSTAT STATIQUE À REPRODUIRE","lot-artisanat/README.md","Reproduction isolée, correctif, recette UI/persistance et audit"
"SITE-CONC-004","Artisanat","UPSERT site sans version attendue : conflit entre éditeurs non signalé","Qualification initiale ; aucun correctif de ce cas","OUVERT ; CONSTAT STATIQUE À REPRODUIRE","lot-artisanat/README.md","Reproduction isolée, correctif, recette UI/persistance et audit"
"AFF-ACK-005","Artisanat","Succès affiliation affiché malgré un échec de relecture","Qualification initiale ; aucun correctif de ce cas","OUVERT ; CONSTAT STATIQUE À REPRODUIRE","lot-artisanat/README.md","Reproduction isolée, correctif, recette UI/persistance et audit"
"LECT-VOL-006","Artisanat","Risque de résultats tronqués dans les services non paginés","Qualification initiale ; aucun correctif de ce cas","OUVERT ; CONSTAT STATIQUE À REPRODUIRE","lot-artisanat/README.md","Reproduction isolée, correctif, recette UI/persistance et audit"
"SITE-DOC-007","Artisanat","Échec de dépôt/lecture photo masqué par un fallback ou une galerie vide","Qualification initiale ; aucun correctif de ce cas","OUVERT ; CONSTAT STATIQUE À REPRODUIRE","lot-artisanat/README.md","Reproduction isolée, correctif, recette UI/persistance et audit"
