"criterion_id","domain","domain_weight","screen","context","criterion","requirement_source","scope_state","test_status","evidence_ids","audit_decision"
"CLI-FONC-25","FONC","30","DETAIL","À instancier selon matrice 04","Action courriel ouvre le logiciel de messagerie pour l’adresse enregistrée sans envoi automatique de test","§2.4; §11; CLAUDE §10","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-01","DATA","20","FORM","À instancier selon matrice 04","Valeur name normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-02","DATA","20","FORM","À instancier selon matrice 04","Valeur email normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-03","DATA","20","FORM","À instancier selon matrice 04","Valeur phone normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-04","DATA","20","FORM","À instancier selon matrice 04","Valeur country normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-05","DATA","20","FORM","À instancier selon matrice 04","Valeur address normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-06","DATA","20","FORM","À instancier selon matrice 04","Valeur contact_person normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-07","DATA","20","FORM","À instancier selon matrice 04","Valeur tax_id normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-08","DATA","20","FORM","À instancier selon matrice 04","Valeur payment_terms normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-09","DATA","20","FORM","À instancier selon matrice 04","Valeur credit_limit normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-10","DATA","20","FORM","À instancier selon matrice 04","Valeur status normalisée comme prévu et identique en base, détail et modification","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-11","DATA","20","BANK","À instancier selon matrice 04","Valeur bancaire bank_name conforme dans chaque enfant et relue sans confusion entre banques","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-12","DATA","20","BANK","À instancier selon matrice 04","Valeur bancaire account_number conforme dans chaque enfant et relue sans confusion entre banques","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-13","DATA","20","BANK","À instancier selon matrice 04","Valeur bancaire swift_code conforme dans chaque enfant et relue sans confusion entre banques","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-14","DATA","20","BANK","À instancier selon matrice 04","Valeur bancaire iban conforme dans chaque enfant et relue sans confusion entre banques","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-15","DATA","20","BANK","À instancier selon matrice 04","Valeur bancaire currency conforme dans chaque enfant et relue sans confusion entre banques","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-16","DATA","20","BANK","À instancier selon matrice 04","Valeur bancaire country conforme dans chaque enfant et relue sans confusion entre banques","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-17","DATA","20","BANK","À instancier selon matrice 04","Valeur bancaire city conforme dans chaque enfant et relue sans confusion entre banques","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-18","DATA","20","BANK","À instancier selon matrice 04","Valeur bancaire is_primary conforme dans chaque enfant et relue sans confusion entre banques","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-19","DATA","20","BANK","À instancier selon matrice 04","Valeur bancaire is_active conforme dans chaque enfant et relue sans confusion entre banques","§7; §8.5–8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-20","DATA","20","BANK","À instancier selon matrice 04","customer_banks.customer_id correspond exactement au client créé","§7; §15","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-21","DATA","20","BANK","À instancier selon matrice 04","Identifiants des banques existantes conservés pendant la modification du client","§7; §15","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-22","DATA","20","BANK","À instancier selon matrice 04","Échec d’une écriture enfant ne laisse pas parent ou banques partiellement changés","§7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-23","DATA","20","FORM","À instancier selon matrice 04","Valeur de crédit zéro reste zéro après ouverture édition puis sauvegarde","§7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-24","DATA","20","FORM","À instancier selon matrice 04","Champs facultatifs vides et valeurs nulles restent distincts des zéros et valeurs par défaut","§7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-25","DATA","20","FORM","À instancier selon matrice 04","Modification d’un champ laisse inchangés tous les autres champs et relations attendus","§8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-26","DATA","20","DETAIL","À instancier selon matrice 04","Indicateurs de vente utilisent montants unités et périodes du contrat existant","§11; §15","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-27","DATA","20","DETAIL","À instancier selon matrice 04","Taux de paiement calculé selon règle existante ou indisponibilité explicite sans faux zéro","§2.6; §15","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-28","DATA","20","DETAIL","À instancier selon matrice 04","Erreur de lecture des ventes ne devient ni faux total nul ni fausse absence d’opérations","§2.6; §9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-DATA-29","DATA","20","BANK","À instancier selon matrice 04","Référence utilisée par un paiement existant reste valide après modification client ou bancaire","§7; §15","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-01","UX","20","ALL","À instancier selon matrice 04","Header complet 102 px et logos dans la largeur commune 270 px à 1536 × 1024","A.1; A.2","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-02","UX","20","ALL","À instancier selon matrice 04","Identité organisationnelle et thème réel appliqués au formulaire détail liste et sous-formulaire","§13; A.3; A.4","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-03","UX","20","FORM","À instancier selon matrice 04","Labels persistants et messages d’erreur associés aux contrôles par un nom accessible","§10; A.7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-04","UX","20","FORM","À instancier selon matrice 04","Sections suivent la logique de saisie avec champs longs non comprimés","§10","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-05","UX","20","FORM","À instancier selon matrice 04","Action principale et annulation restent accessibles sans masquer les champs","§10","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-06","UX","20","FORM","À instancier selon matrice 04","Volet de droite justifié par une information utile et largeur documentée ou absence justifiée","§10","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-07","UX","20","DETAIL","À instancier selon matrice 04","Titre référence statut informations et actions du même enregistrement sont hiérarchisés sans répétition","§11","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-08","UX","20","DETAIL","À instancier selon matrice 04","Relations bancaires et opérations se consultent sans données essentielles cachées","§11","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-09","UX","20","LST","À instancier selon matrice 04","Tuiles ou bandeau justifiés par la synthèse utile et chiffres autorisés","§12","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-10","UX","20","LST","À instancier selon matrice 04","Onglets existants ou introduits pour sous-ensembles portent le total filtré correct et un état actif sémantique","§12","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-11","UX","20","ALL","À instancier selon matrice 04","Chargement vide erreur succès et lecture seule sont distincts et lisibles en français","§9; A.7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-12","UX","20","ALL","À instancier selon matrice 04","Clavier parcourt les actions essentielles avec focus visible et ordre cohérent","A.7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-13","UX","20","ALL","À instancier selon matrice 04","Zoom natif 200 pour cent garde champs modales actions et navigation utilisables","A.7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-14","UX","20","ALL","À instancier selon matrice 04","Viewport mobile 360 ou 390 px sans débordement global ni commandes masquées","CLAUDE §10; A.7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-15","UX","20","ALL","À instancier selon matrice 04","Viewport tablette 768 et intermédiaires 1024 1280 px sans chevauchement","A.7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-16","UX","20","ALL","À instancier selon matrice 04","Desktop 1366 1440 1536 et 1920 px inspectés selon le périmètre du lot","CLAUDE §10; A.7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-17","UX","20","ALL","À instancier selon matrice 04","Contrastes AA des textes contrôles liens et focus mesurés sur les couleurs effectivement rendues","CLAUDE §10; A.3","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-UX-18","UX","20","ALL","À instancier selon matrice 04","Source Sans 3 réellement chargée et tailles utiles respectées","A.7","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-ACCES-01","ACCES","15","ALL","À instancier selon matrice 04","Connexion réelle de test établit profil organisation MFA et capabilities attendus","§8.1; §14","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-ACCES-02","ACCES","15","FORM","À instancier selon matrice 04","Acteur SONASP habilité peut créer et modifier via UI puis serveur","§14; routeAccessRegistry","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-ACCES-03","ACCES","15","FORM","À instancier selon matrice 04","Acteur lecture seule ne peut créer ou modifier ni par route directe ni par appel serveur","§14","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-ACCES-04","ACCES","15","ALL","À instancier selon matrice 04","Profil sans accès au module refusé sur menu route et lectures protégées selon règle confirmée","§14","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-ACCES-05","ACCES","15","DETAIL","À instancier selon matrice 04","Identifiant inexistant ou hors périmètre ne révèle aucune donnée associée","§11; §14","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-ACCES-06","ACCES","15","ALL","À instancier selon matrice 04","Deux organisations d’un type pertinent ne mélangent pas leurs données autorisées","§14","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-ACCES-07","ACCES","15","ALL","À instancier selon matrice 04","Réponses tardives lors d’un changement d’objet ou de contexte ne remplacent pas le dossier courant","§10; A.4","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-ACCES-08","ACCES","15","ALL","À instancier selon matrice 04","Actualisation de session et reconnexion conservent uniquement le contexte autorisé","§14","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-ACCES-09","ACCES","15","BANK","À instancier selon matrice 04","Lectures des coordonnées bancaires respectent la règle serveur documentée et les exigences de confidentialité confirmées","§14; CLAUDE §8","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-TECH-01","TECH","10","ALL","À instancier selon matrice 04","Tests ciblés des causes racines passent sur la version intégrée","§6; CLAUDE §12","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-TECH-02","TECH","10","ALL","À instancier selon matrice 04","Suite de régression des consommateurs affectés passe sur la version intégrée","§6; CLAUDE §13","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-TECH-03","TECH","10","ALL","À instancier selon matrice 04","Typecheck et contrat de types passent sans erreur ajoutée","CLAUDE §13","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-TECH-04","TECH","10","ALL","À instancier selon matrice 04","Lint et contrôle des libellés français passent","CLAUDE §13","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-TECH-05","TECH","10","ALL","À instancier selon matrice 04","Build applicatif réussit avec version identifiable","CLAUDE §13","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-TECH-06","TECH","10","ALL","À instancier selon matrice 04","Navigation liste détail édition et filtres ne remontent pas le shell ou la session","§12; A.6.3","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-TECH-07","TECH","10","BANK","À instancier selon matrice 04","Changement de compte principal ou retrait ne mute pas les objets de props antérieurs","§7; CLAUDE §12","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-TECH-08","TECH","10","ALL","À instancier selon matrice 04","Aucune nouvelle erreur JavaScript non gérée durant les scénarios exécutés","§9; CLAUDE §13","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-OPS-01","OPS","5","ALL","À instancier selon matrice 04","Version code schéma dépendances et artefact testés sont reproductibles et identifiés","§19.1","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-OPS-02","OPS","5","ALL","À instancier selon matrice 04","Environnement isolé et autorisé avec absence de mutation de production prouvée","§2.10; §19","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-OPS-03","OPS","5","ALL","À instancier selon matrice 04","Migration du lot si nécessaire relue catalogue préflight postflight et compatibilité testés ou absence de migration documentée","§15; §19.2","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-OPS-04","OPS","5","ALL","À instancier selon matrice 04","Préparation de retour arrière adaptée au code et aux données du lot documentée","§19.4","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-OPS-05","OPS","5","ALL","À instancier selon matrice 04","Preuves complètes auditées et nettoyage limité aux identifiants d’essai conservé séparément","§8; §16; §17","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
